pool_address,network,dex,group,discovered_at_utc,pool_created_at,reason,sampling_probability,tracking_until_utc
Bd4wKg3xEBKJ4Xrw8skXMmJ4W65gk3x8yd7AovuBJisZ,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2026-09-11T00:55:05Z,trending_rank_1,1.0,2026-09-22T22:34:52.049030+00:00
4R8CiMnJWDNoes3fQi1ccPFJygPXazaHaWpHrN3rZeNj,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2026-09-19T19:06:59Z,trending_rank_2,1.0,2026-09-22T22:34:52.049030+00:00
HMzvsEEmtzHhvZNw9uwbaG85HCTmFnkbhzUx16cy7ca3,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2026-07-26T16:32:43Z,trending_rank_3,1.0,2026-09-22T22:34:52.049030+00:00
7a8xxAJBELDo6P9dikSYctdw6ce8F4mWr3ahcAD8Ao49,solana,Raydium (CLMM),trending,2026-09-20T22:34:52.049030+00:00,2026-07-23T19:07:17Z,trending_rank_4,1.0,2026-09-22T22:34:52.049030+00:00
EyeeG5fzZEigSQv7jUdxydePnsPL382KyVfXAANXVmeD,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2026-09-19T12:24:11Z,trending_rank_5,1.0,2026-09-22T22:34:52.049030+00:00
2fwy38cJcChCVySA9cd5SAFaEPtZQWN2ssFip43hnsHU,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2026-09-18T11:06:53Z,trending_rank_6,1.0,2026-09-22T22:34:52.049030+00:00
6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,solana,Meteora,trending,2026-09-20T22:34:52.049030+00:00,2026-03-23T12:39:55Z,trending_rank_7,1.0,2026-09-22T22:34:52.049030+00:00
FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q,solana,Orca,trending,2026-09-20T22:34:52.049030+00:00,2023-07-05T14:39:00Z,trending_rank_8,1.0,2026-09-22T22:34:52.049030+00:00
zxTpi4BtaWX3mgdAPoezkMD1hxx8CdeCfrqXMWvSCLX,solana,Meteora,trending,2026-09-20T22:34:52.049030+00:00,2026-08-12T10:51:40Z,trending_rank_9,1.0,2026-09-22T22:34:52.049030+00:00
CJieB7FUMhEFMaEFjAxQJnkVXNMvaBm3DHHP8RTgBeG1,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2026-09-19T17:02:13Z,trending_rank_10,1.0,2026-09-22T22:34:52.049030+00:00
Cb7ZRgPLhji3Th7htXyKEqbXvNjPpeTvckXuWakBUhXu,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2026-09-09T20:32:15Z,trending_rank_11,1.0,2026-09-22T22:34:52.049030+00:00
FDrY5i5kuadZ1ik8gPS26qjj9Rw9mpufXMegGC2HNSP7,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2025-11-03T20:41:29Z,trending_rank_12,1.0,2026-09-22T22:34:52.049030+00:00
851G7eJBavuNfn3QcU951tDZkQZK17XPLE2jCzuqtEEs,solana,PumpSwap,trending,2026-09-20T22:34:52.049030+00:00,2026-09-20T04:06:55Z,trending_rank_13,1.0,2026-09-22T22:34:52.049030+00:00
GbrDAq3RjcVWeroLDUwmnuQ8N5xaaKj2Rk2dJDg64CLY,solana,Meteora,trending,2026-09-20T22:34:52.049030+00:00,2026-09-09T23:09:57Z,trending_rank_14,1.0,2026-09-22T22:34:52.049030+00:00
