pool_address,network,dex,group,discovered_at_utc,pool_created_at,reason,sampling_probability,tracking_until_utc
BFbxjtNhWHpgpz37P7dqEDe4pu9zHq8iiDsbE6oM7QPk,solana,Pump.fun,random_new,2026-09-22T00:44:54.989589+00:00,2026-09-22T00:43:51Z,new_pools_sampled_p=0.25,0.25,2026-09-24T00:44:54.989589+00:00
GFZtLpELpFg7Ns9xX6Zg1KXcAzTh41i2mtFVccwG2QBk,solana,Pump.fun,random_new,2026-09-22T00:44:54.989589+00:00,2026-09-22T00:43:40Z,new_pools_sampled_p=0.25,0.25,2026-09-24T00:44:54.989589+00:00
2WZidSjCd3wvQtRTYo4vvBVwxrmB2ZCNmRBFP5rRysaX,solana,Pump.fun,random_new,2026-09-22T00:44:54.989589+00:00,2026-09-22T00:43:40Z,new_pools_sampled_p=0.25,0.25,2026-09-24T00:44:54.989589+00:00
4iPY4h2H9TpLfgkCb3p1V3Xw1aMbuA8GqAXrchYCLhgw,solana,Pump.fun,random_new,2026-09-22T00:44:54.989589+00:00,2026-09-22T00:43:35Z,new_pools_sampled_p=0.25,0.25,2026-09-24T00:44:54.989589+00:00
58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,solana,Raydium,trending,2026-09-22T05:27:07.297743+00:00,2022-04-28T09:46:08Z,trending_rank_20,1.0,2026-09-24T05:27:07.297743+00:00
zNdRuXfE2tU4hL37WpRq9NYaM4RkJL9kCHhGqPm3dWT,solana,PumpSwap,random_new,2026-09-22T05:27:07.297743+00:00,2026-09-22T05:25:54Z,new_pools_sampled_p=0.25,0.25,2026-09-24T05:27:07.297743+00:00
8kR6KbSdJGJVam9F2GNEHYC7qhV86wuVRkP7Vtt6hQ2W,solana,Pump.fun,random_new,2026-09-22T05:27:07.297743+00:00,2026-09-22T05:25:53Z,new_pools_sampled_p=0.25,0.25,2026-09-24T05:27:07.297743+00:00
HkCeJMnsKZY8CZA1o8HBkxBXUo29u3gbPfXaw728cDk,solana,Meteora DAMM V2,random_new,2026-09-22T05:27:07.297743+00:00,2026-09-22T05:25:33Z,new_pools_sampled_p=0.25,0.25,2026-09-24T05:27:07.297743+00:00
C65rDFk4dfTRn1Y4F7P7MVBiFPF4CDqdx3UAfGtgVKpN,solana,Pump.fun,random_new,2026-09-22T05:27:07.297743+00:00,2026-09-22T05:25:31Z,new_pools_sampled_p=0.25,0.25,2026-09-24T05:27:07.297743+00:00
HoaDBVcdSCUwB9EtTEDnQdpcKMwf8rfBXpwqHPuW3WHX,solana,Meteora DBC,random_new,2026-09-22T05:27:07.297743+00:00,2026-09-22T05:25:22Z,new_pools_sampled_p=0.25,0.25,2026-09-24T05:27:07.297743+00:00
5pR2mm6R6rpotEAgZp3qScD6aSqGwZ7nDdUzYHnb9Pfi,solana,Meteora DBC,random_new,2026-09-22T05:27:07.297743+00:00,2026-09-22T05:25:21Z,new_pools_sampled_p=0.25,0.25,2026-09-24T05:27:07.297743+00:00
41rzTMB7JHPTyMXzrYwdqnBecJRhkb8KHYAjrQ9cYxJx,solana,PumpSwap,trending,2026-09-22T10:13:21.110153+00:00,2026-09-03T16:16:10Z,trending_rank_18,1.0,2026-09-24T10:13:21.110153+00:00
Nx9dcwNs3iJxM5YAxshMHE4aYJHdDyyGMhVcmaSgfu8,solana,PumpSwap,trending,2026-09-22T10:13:21.110153+00:00,2026-08-08T13:59:17Z,trending_rank_19,1.0,2026-09-24T10:13:21.110153+00:00
3ekdwsfFGJfL6QL7hGEuqMdABFppdZpNKDgPzfxh76Qu,solana,Meteora DAMM V2,random_new,2026-09-22T10:13:21.110153+00:00,2026-09-22T10:12:37Z,new_pools_sampled_p=0.25,0.25,2026-09-24T10:13:21.110153+00:00
7pLfvuZyQrMMEMHNN4AsvGi1LoNXqTn2fcrhqWHdxeQ5,solana,Pump.fun,random_new,2026-09-22T10:13:21.110153+00:00,2026-09-22T10:12:34Z,new_pools_sampled_p=0.25,0.25,2026-09-24T10:13:21.110153+00:00
