pool_address,network,dex,group,discovered_at_utc,pool_created_at,reason,sampling_probability,tracking_until_utc
9HU4B22GWfTevmzZc8kxwToiQ4HirKKvCWQw8fPDz2gx,solana,Pump.fun,random_new,2026-09-24T01:18:47.305418+00:00,2026-09-24T01:17:40Z,new_pools_sampled_p=0.25,0.25,2026-09-26T01:18:47.305418+00:00
4gmHiSY5Nv19q172H1ZcqtZLf9PWJ9qTYmab5L4QPZgo,solana,Pump.fun,random_new,2026-09-24T01:18:47.305418+00:00,2026-09-24T01:17:39Z,new_pools_sampled_p=0.25,0.25,2026-09-26T01:18:47.305418+00:00
5ujrdDX8MkBcghg9NGwUD93DTqLunxMHZtmgdKNyR7qW,solana,Meteora DBC,random_new,2026-09-24T01:18:47.305418+00:00,2026-09-24T01:17:26Z,new_pools_sampled_p=0.25,0.25,2026-09-26T01:18:47.305418+00:00
Af8M4HpJVMqwz2ZAayvTMvSsMhE52uuN8NWUGWwQuXWa,solana,Pump.fun,random_new,2026-09-24T01:18:47.305418+00:00,2026-09-24T01:17:25Z,new_pools_sampled_p=0.25,0.25,2026-09-26T01:18:47.305418+00:00
CKs2FvVNEAPyp1ZHRTD7i7covwGK3py9qoXiFGeessos,solana,Pump.fun,random_new,2026-09-24T01:18:47.305418+00:00,2026-09-24T01:17:20Z,new_pools_sampled_p=0.25,0.25,2026-09-26T01:18:47.305418+00:00
9PYormkWiWYAALGWkNNBjSEqKk79HPoRaLgQhMfY4fuv,solana,PumpSwap,trending,2026-09-24T06:15:11.639651+00:00,2026-09-23T22:34:24Z,trending_rank_11,1.0,2026-09-26T06:15:11.639651+00:00
ENiVH49XwRM3Cu9n4Tp6CGynCFXf3Mz6CE3GRmVk1LH4,solana,PumpSwap,trending,2026-09-24T06:15:11.639651+00:00,2026-09-23T23:22:54Z,trending_rank_12,1.0,2026-09-26T06:15:11.639651+00:00
72tZoSAHAutvD7dP2fNC56aASLxbPXro9jBPohZ8aAvY,solana,PumpSwap,trending,2026-09-24T06:15:11.639651+00:00,2026-09-23T08:32:21Z,trending_rank_16,1.0,2026-09-26T06:15:11.639651+00:00
EFJbuTaAjRHW5pXTnhEMwDYATKAphWdTCwutEYtSKZz7,solana,PumpSwap,random_new,2026-09-24T06:15:11.639651+00:00,2026-09-24T06:14:04Z,new_pools_sampled_p=0.25,0.25,2026-09-26T06:15:11.639651+00:00
5SHG5FRKiMHy91jRAsKWCA9omPKfrJ3XeWZ1YcND8MSi,solana,Pump.fun,random_new,2026-09-24T06:15:11.639651+00:00,2026-09-24T06:13:57Z,new_pools_sampled_p=0.25,0.25,2026-09-26T06:15:11.639651+00:00
GcRCV4vcTRXJBYhftFQKXU2YRoBzyKpqV8ixvB59giT4,solana,Meteora DBC,random_new,2026-09-24T06:15:11.639651+00:00,2026-09-24T06:13:54Z,new_pools_sampled_p=0.25,0.25,2026-09-26T06:15:11.639651+00:00
NvcJxLom5u4vqxAcScU8G7ewbXuC8EDZrpnMonZYRXr,solana,PumpSwap,random_new,2026-09-24T06:15:11.639651+00:00,2026-09-24T06:13:19Z,new_pools_sampled_p=0.25,0.25,2026-09-26T06:15:11.639651+00:00
5SgLkVZSUE4ByHcG8Tt23wH9kXwFTfguUL7hrt37sanQ,solana,Meteora DAMM V2,random_new,2026-09-24T06:15:11.639651+00:00,2026-09-24T06:13:16Z,new_pools_sampled_p=0.25,0.25,2026-09-26T06:15:11.639651+00:00
