pool_address,network,dex,group,discovered_at_utc,pool_created_at,reason,sampling_probability,tracking_until_utc
3dcwhqJp6JBTJPq8ga335HWgSQVS7uQmdmeX7iGjMNpj,solana,PumpSwap,trending,2026-09-26T01:46:15.417499+00:00,2026-08-27T00:03:44Z,trending_rank_17,1.0,2026-09-28T01:46:15.417499+00:00
364hvUrAhVcGA4a4CjRNCeTzPr3XkotZePBPtWUZTvLr,solana,PumpSwap,random_new,2026-09-26T01:46:15.417499+00:00,2026-09-26T01:44:57Z,new_pools_sampled_p=0.25,0.25,2026-09-28T01:46:15.417499+00:00
ERXreoRwqXj4ec8NZKRfXmzKQqk4eSufzQHbHvCYBqe3,solana,Meteora DAMM V2,random_new,2026-09-26T01:46:15.417499+00:00,2026-09-26T01:44:50Z,new_pools_sampled_p=0.25,0.25,2026-09-28T01:46:15.417499+00:00
7qjiQZ5QYxW1XZLP1U1ASdjH8KVabf6guWaupbU8ZQuH,solana,Pump.fun,random_new,2026-09-26T01:46:15.417499+00:00,2026-09-26T01:44:49Z,new_pools_sampled_p=0.25,0.25,2026-09-28T01:46:15.417499+00:00
jyjX1ZnB5zZ3n3am5yFCnfTnvntgX8EfKwgPBfuPJCV,solana,Pump.fun,random_new,2026-09-26T01:46:15.417499+00:00,2026-09-26T01:44:49Z,new_pools_sampled_p=0.25,0.25,2026-09-28T01:46:15.417499+00:00
99f6oPH3aE9L4iEj22ijwVjiAJUidJHBbqBsxLdkLc8G,solana,Pump.fun,random_new,2026-09-26T01:46:15.417499+00:00,2026-09-26T01:44:45Z,new_pools_sampled_p=0.25,0.25,2026-09-28T01:46:15.417499+00:00
4JAnKFddd5fFTk5PxDj3PpTWJuTEfSWQEjZJcgKQ9KwW,solana,PumpSwap,trending,2026-09-26T06:40:59.179235+00:00,2026-09-25T21:15:15Z,trending_rank_5,1.0,2026-09-28T06:40:59.179235+00:00
3yXXas5wQqC6LzV9x22GEqVr9Dgg1VC6yynkVGhRWJWM,solana,PumpSwap,trending,2026-09-26T06:40:59.179235+00:00,2026-09-25T14:14:54Z,trending_rank_16,1.0,2026-09-28T06:40:59.179235+00:00
DTre5JvnzVP9NaBgr7pWrG77nsZefgMLBLQTwTCrzqbE,solana,Pump.fun,random_new,2026-09-26T06:40:59.179235+00:00,2026-09-26T06:40:13Z,new_pools_sampled_p=0.25,0.25,2026-09-28T06:40:59.179235+00:00
GYermLV9vZD1Na4dvf3WAxxj6LY4ksi9e2uvobxLeSN6,solana,PumpSwap,random_new,2026-09-26T06:40:59.179235+00:00,2026-09-26T06:40:05Z,new_pools_sampled_p=0.25,0.25,2026-09-28T06:40:59.179235+00:00
EoiNWADPghznjVcuz2i3tfEXASNXkvVeU1Lv8bvJQrsg,solana,Pump.fun,random_new,2026-09-26T06:40:59.179235+00:00,2026-09-26T06:39:55Z,new_pools_sampled_p=0.25,0.25,2026-09-28T06:40:59.179235+00:00
CPRoWXCgq3ELsnqsGDMLmAVRnNSmyN4k1ddc6efGdd91,solana,PumpSwap,trending,2026-09-26T11:48:12.295988+00:00,2026-09-26T00:19:08Z,trending_rank_6,1.0,2026-09-28T11:48:12.295988+00:00
Ax9GpoBxTKb19NMj4eJhNsy163xuUGmFKrLpELeQK7LX,solana,PumpSwap,trending,2026-09-26T11:48:12.295988+00:00,2026-09-25T14:11:13Z,trending_rank_11,1.0,2026-09-28T11:48:12.295988+00:00
DGvB8KyD79wFBJ7Kr7mW54qSfi7Yk3UrhJkcnTSd6frb,solana,PumpSwap,trending,2026-09-26T11:48:12.295988+00:00,2026-09-26T00:06:55Z,trending_rank_14,1.0,2026-09-28T11:48:12.295988+00:00
6tuhHpYSinf41V39KW3JmpVUaxehcabCbHZqqFnwR6xf,solana,PumpSwap,trending,2026-09-26T11:48:12.295988+00:00,2026-09-15T19:26:05Z,trending_rank_17,1.0,2026-09-28T11:48:12.295988+00:00
3QaH1ifhQgUXHQdX3DHi9oMrWzTQfKLcomoCyeRRLMh6,solana,PumpSwap,trending,2026-09-26T11:48:12.295988+00:00,2026-09-26T07:26:05Z,trending_rank_18,1.0,2026-09-28T11:48:12.295988+00:00
5FcxJGy2y12FkrRJ35RsoboiV7KUnmMddK5C4HMbWDbD,solana,Pump.fun,random_new,2026-09-26T11:48:12.295988+00:00,2026-09-26T11:47:19Z,new_pools_sampled_p=0.25,0.25,2026-09-28T11:48:12.295988+00:00
ajdJFV2vE9K6QnC1oN3nxKgnYhcwkjtApLPpvVi7CMf,solana,Pump.fun,random_new,2026-09-26T11:48:12.295988+00:00,2026-09-26T11:47:10Z,new_pools_sampled_p=0.25,0.25,2026-09-28T11:48:12.295988+00:00
6deFvLfNPRxTJ6GPqTuXji3E8gD8H3t22ES5twcMEFtb,solana,Pump.fun,random_new,2026-09-26T11:48:12.295988+00:00,2026-09-26T11:46:58Z,new_pools_sampled_p=0.25,0.25,2026-09-28T11:48:12.295988+00:00
6hBBBSNYQ3QXD3C3pNQwpHhRhWtNMCYKd8uZXnmRu9sL,solana,Pump.fun,random_new,2026-09-26T11:48:12.295988+00:00,2026-09-26T11:46:53Z,new_pools_sampled_p=0.25,0.25,2026-09-28T11:48:12.295988+00:00
79b539gZHKGeg6szrmMU7kdS9VixSnuUsNpM8FocYfUQ,solana,Pump.fun,random_new,2026-09-26T11:48:12.295988+00:00,2026-09-26T11:46:45Z,new_pools_sampled_p=0.25,0.25,2026-09-28T11:48:12.295988+00:00
FtDBJCmzGoJqyNoFHwwuMHxwCKWreGvxXdE5zwwhcTg6,solana,Pump.fun,random_new,2026-09-26T15:08:28.119659+00:00,2026-09-26T15:07:26Z,new_pools_sampled_p=0.25,0.25,2026-09-28T15:08:28.119659+00:00
EDRVX5LB6fRovfPC6NxW4Y4s1rtfKWmj6V5unbynx8p7,solana,Pump.fun,random_new,2026-09-26T15:08:28.119659+00:00,2026-09-26T15:07:26Z,new_pools_sampled_p=0.25,0.25,2026-09-28T15:08:28.119659+00:00
HjBhUN8jhLeqDxTyjGGBXwrr1KfmQ6wwY66k3SxDk4CC,solana,Pump.fun,random_new,2026-09-26T15:08:28.119659+00:00,2026-09-26T15:06:54Z,new_pools_sampled_p=0.25,0.25,2026-09-28T15:08:28.119659+00:00
EP88Ktqm6491WEm1ZJsEryXYYjuoLh5cEyz5exyxr1Cb,solana,PumpSwap,trending,2026-09-26T18:35:09.869465+00:00,2026-09-26T12:02:36Z,trending_rank_19,1.0,2026-09-28T18:35:09.869465+00:00
EpjEComYHRJuxVkZHKiDsbyJaUpBjZ9VZGr1WzbUpNb3,solana,Pump.fun,random_new,2026-09-26T18:35:09.869465+00:00,2026-09-26T18:33:30Z,new_pools_sampled_p=0.25,0.25,2026-09-28T18:35:09.869465+00:00
DCffxCe3R7cqdRCkiozwCXrmv8iTbuxZ3MZPJwuvXkVA,solana,Meteora DBC,random_new,2026-09-26T18:35:09.869465+00:00,2026-09-26T18:33:19Z,new_pools_sampled_p=0.25,0.25,2026-09-28T18:35:09.869465+00:00
CTw76ybfSHK1wKRfGGK8o3eJTTefo94rXNaVgPs4XA8r,solana,Pump.fun,random_new,2026-09-26T18:35:09.869465+00:00,2026-09-26T18:33:08Z,new_pools_sampled_p=0.25,0.25,2026-09-28T18:35:09.869465+00:00
HeZQbDWxCUmcevw9jtA5XnGhP3VkUBVFPjEMXnbMBrxF,solana,StonkFun,random_new,2026-09-26T18:35:09.869465+00:00,2026-09-26T18:33:08Z,new_pools_sampled_p=0.25,0.25,2026-09-28T18:35:09.869465+00:00
HkdJvWcCWcNnzgsMYuGhRLZxjv5FriC78cEaPTvoSUfG,solana,Pump.fun,random_new,2026-09-26T18:35:09.869465+00:00,2026-09-26T18:33:07Z,new_pools_sampled_p=0.25,0.25,2026-09-28T18:35:09.869465+00:00
