run_id,started_at_utc,finished_at_utc,network,calls_made,calls_budget,errors_count,errors_json,pools_discovered_trending,pools_discovered_random,pools_snapshotted,pools_backfilled,pools_status_events,exit_reason
7c104464-bc7a-4ac9-b26c-6cac43fd8451,2026-09-23T01:51:13.601407+00:00,2026-09-23T01:53:06.466260+00:00,solana,16,60,4,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",2,5,70,7,13,completed
c07eea25-1cdb-4ded-9f21-88ddf57b5c08,2026-09-23T06:48:15.179778+00:00,2026-09-23T06:49:53.236748+00:00,solana,14,60,3,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",1,5,70,6,6,completed
4a81bd59-0dbf-4852-a933-51a83b2099fd,2026-09-23T12:19:11.025092+00:00,2026-09-23T12:20:56.681240+00:00,solana,15,60,4,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",2,4,76,6,0,completed
