run_id,started_at_utc,finished_at_utc,network,calls_made,calls_budget,errors_count,errors_json,pools_discovered_trending,pools_discovered_random,pools_snapshotted,pools_backfilled,pools_status_events,exit_reason
46fd6339-7563-4715-b1a9-5756dda7df6e,2026-09-21T00:05:21.371607+00:00,2026-09-21T00:06:45.013945+00:00,solana,12,60,2,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",1,5,34,6,0,completed
9532cf9c-351a-49bc-83ec-5f71d485476d,2026-09-21T01:03:10.217875+00:00,2026-09-21T01:04:55.567051+00:00,solana,15,60,4,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",1,6,41,7,0,completed
6725c07b-f95a-41f6-9473-caffe8be7919,2026-09-21T06:12:05.611575+00:00,2026-09-21T06:13:43.352004+00:00,solana,14,60,4,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 2"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",3,3,47,6,0,completed
7a3a1db1-fbe7-4d34-b27c-2cc21f5d44e3,2026-09-21T12:49:30.912005+00:00,2026-09-21T12:51:38.814520+00:00,solana,18,60,5,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 2"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 2"", ""ohlcv: HTTP 429 tentative 1""]",5,4,56,9,0,completed
fbe5bfc3-cee2-4fd5-94c4-650ecc1ce815,2026-09-21T18:20:25.643186+00:00,2026-09-21T18:22:04.026631+00:00,solana,14,60,3,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",2,4,62,6,0,completed
