run_id,started_at_utc,finished_at_utc,network,calls_made,calls_budget,errors_count,errors_json,pools_discovered_trending,pools_discovered_random,pools_snapshotted,pools_backfilled,pools_status_events,exit_reason
5cafecbd-937a-48d8-83a6-a55f3f34ec31,2026-09-24T01:18:47.305418+00:00,2026-09-24T01:20:34.424779+00:00,solana,15,60,5,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 2"", ""ohlcv: HTTP 429 tentative 3"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",0,5,78,5,4,completed
8725e8c3-3241-445d-b7b0-8b6aa166cff7,2026-09-24T06:15:11.639651+00:00,2026-09-24T06:17:19.481190+00:00,solana,18,60,5,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",3,5,79,8,7,completed
5018732e-314e-428d-b276-06d2de5a68f8,2026-09-24T11:53:56.511822+00:00,2026-09-24T11:56:19.472022+00:00,solana,20,60,7,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 2"", ""ohlcv: HTTP 429 tentative 3"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",4,4,79,8,8,completed
783e082c-8248-43e6-ba87-79f02019d706,2026-09-24T16:14:13.494494+00:00,2026-09-24T16:15:52.754027+00:00,solana,14,60,3,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",1,5,78,6,7,completed
ed131b10-6b2f-4c01-a3d8-2b8c927a0cf2,2026-09-24T20:00:23.333907+00:00,2026-09-24T20:02:17.674475+00:00,solana,16,60,4,"[""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1"", ""ohlcv: HTTP 429 tentative 1""]",2,5,80,7,5,completed
