request_timestamp_utc,pool_address,network,dex,base_token_address,base_token_symbol,quote_token_address,quote_token_symbol,pool_created_at,price_usd,fdv_usd,market_cap_usd,reserve_usd,volume_usd_m5,volume_usd_h1,volume_usd_h24,buys_m5,sells_m5,buyers_m5,sellers_m5,buys_h1,sells_h1,buyers_h1,sellers_h1,buys_h24,sells_h24,buyers_h24,sellers_h24,source,ohlcv_timeframe,ohlcv_open,ohlcv_high,ohlcv_low,ohlcv_close,ohlcv_volume,raw_cache_path
2026-09-22T00:45:02.543914+00:00,Bd4wKg3xEBKJ4Xrw8skXMmJ4W65gk3x8yd7AovuBJisZ,solana,PumpSwap,EpEfnZxQyiBXppSKi8sncc8w4corn1UJbF9G91fQpump,PEPENOM,So11111111111111111111111111111111111111112,SOL,2026-09-11T00:55:05Z,0.0003920706799249127,231962.071796976,231985.547374793,132300.8386,51.5579380462,2551.5656619279,139958.45705465,3,1,3,1,61,21,60,21,5619,2017,5357,1861,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,4R8CiMnJWDNoes3fQi1ccPFJygPXazaHaWpHrN3rZeNj,solana,PumpSwap,GTBxUiw6wJdmmkCGZgRHLyYxqu1vG4KtRpeox6yDpump,JEANPHIL,So11111111111111111111111111111111111111112,SOL,2026-09-19T19:06:59Z,0.0019068350951030942,1888132.212,,171575.5939,4811.6457848488,84019.816077501,4896848.5147857,23,22,19,20,279,402,191,246,19875,17659,6356,7604,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,HMzvsEEmtzHhvZNw9uwbaG85HCTmFnkbhzUx16cy7ca3,solana,PumpSwap,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,CATE,So11111111111111111111111111111111111111112,SOL,2026-07-26T16:32:43Z,0.09373679236510288,90716316.2796267,90737305.2119395,3586736.9863,7009.2304408032,263728.305881265,6151738.44428137,49,11,48,11,506,746,336,301,11739,8615,3552,3228,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,7a8xxAJBELDo6P9dikSYctdw6ce8F4mWr3ahcAD8Ao49,solana,Raydium (CLMM),6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,STONK,XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,SPYx,2026-07-23T19:07:17Z,0.3754804336204417,310863760.07065,311040844.010696,7430435.2344,63722.5431798915,912655.022854975,9099026.95541715,540,412,301,245,4688,3569,1483,1367,20891,20249,5760,6322,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,EyeeG5fzZEigSQv7jUdxydePnsPL382KyVfXAANXVmeD,solana,PumpSwap,G9QZfEPHtZrUF1arcUFvZgYn6zSQLZdvcjCuyhKrpump,Stryker,So11111111111111111111111111111111111111112,SOL,2026-09-19T12:24:11Z,7.418556528847252e-06,7371.8518548723,7371.8518548723,7191.1472,0.0,9.5060655452,4308.860973385,0,0,0,0,0,2,0,2,110,111,70,79,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,2fwy38cJcChCVySA9cd5SAFaEPtZQWN2ssFip43hnsHU,solana,PumpSwap,91ryaCo5yGpYZM3bs6GUPs97VWJQj7RozBmqPULgpump,TIGRINO,So11111111111111111111111111111111111111112,SOL,2026-09-18T11:06:53Z,0.0002779725867438689,274857.414195066,274857.414195066,64367.7296,8953.9054758363,28656.4971490546,1846708.94131237,50,31,31,13,158,227,108,89,7927,7459,2335,3115,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd,solana,Meteora,BPxxfRCXkUVhig4HS1Lh7kZqV6SPJhzfEk4x6fVBjPCy,BP,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,2026-03-23T12:39:55Z,0.9005583772965992,905975413.86774,226493979.675,4001275.7934,5084.0042956352,239698.879556916,13995907.4570272,3,12,3,9,944,904,498,533,29670,31192,8161,8051,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q,solana,Orca,So11111111111111111111111111111111111111112,SOL,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,2023-07-05T14:39:00Z,119.1757970529308,1452807900.66288,1465416535.19222,139335.2319,1654.3577017597,12961.6666612087,467668.510435106,103,52,89,44,749,654,498,391,20733,20674,8418,7890,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,zxTpi4BtaWX3mgdAPoezkMD1hxx8CdeCfrqXMWvSCLX,solana,Meteora,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,STONK,So11111111111111111111111111111111111111112,SOL,2026-08-12T10:51:40Z,0.3701711580608934,307012655.459899,307187545.613259,3035015.0765,37752.0200821039,643786.800399473,14787705.8676626,179,93,106,67,1620,1143,763,590,16365,14016,5272,4877,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,CJieB7FUMhEFMaEFjAxQJnkVXNMvaBm3DHHP8RTgBeG1,solana,PumpSwap,tipp4C4Jnpft26HC9VXNjUPidojZqxXf8nzKvrKf5BS,TIPPED,So11111111111111111111111111111111111111112,SOL,2026-09-19T17:02:13Z,4.937093921680471e-05,49433.8581373692,,25829.761,481.1542105764,8037.3225212847,460948.338844086,6,12,6,9,106,86,74,69,4289,4280,1361,1924,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,Cb7ZRgPLhji3Th7htXyKEqbXvNjPpeTvckXuWakBUhXu,solana,PumpSwap,Hg5Ja55T5wESq4vyFoiVCMeHXtGyVA69X2UHq8hgpump,baton,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,PUMP,2026-09-09T20:32:15Z,0.0016811918029012787,1679962.79102245,1679962.82012943,216926.0273,8988.0501533025,14506.0189051071,414035.874698613,15,17,14,10,38,58,32,43,1217,998,604,614,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,FDrY5i5kuadZ1ik8gPS26qjj9Rw9mpufXMegGC2HNSP7,solana,PumpSwap,8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump,WOJAK,So11111111111111111111111111111111111111112,SOL,2025-11-03T20:41:29Z,0.0022142378514352955,2184239.8370316,2184239.96567676,378319.5631,58.7710486663,6059.9403375007,362640.442877519,1,4,1,3,23,37,23,34,1536,1773,857,1072,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,851G7eJBavuNfn3QcU951tDZkQZK17XPLE2jCzuqtEEs,solana,PumpSwap,CBLgLg4rjkqqwXuZjR1WAqWet2vR68Vne32J2bFLpump,DONATED,So11111111111111111111111111111111111111112,SOL,2026-09-20T04:06:55Z,1.2250221539966944e-05,12164.2396098797,,9166.7592,0.0,242.4258820357,51956.3749762532,0,0,0,0,7,8,6,8,749,912,375,549,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,GbrDAq3RjcVWeroLDUwmnuQ8N5xaaKj2Rk2dJDg64CLY,solana,Meteora,5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6,EMBER,So11111111111111111111111111111111111111112,SOL,2026-09-09T23:09:57Z,0.013639884759149146,13530946.4382395,13530999.6360979,765344.6245,7565.4387336521,25701.6293672688,2016472.93582469,1,3,1,3,23,8,18,8,2827,1956,1402,922,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,6e3jZLtf4tQbWZm3f7A66jF8tfZn6MRQVrbDFgcNWarA,solana,PumpSwap,98kfF7rmsg1QDUEoCqNE7g7M1FdrTt92TEp2CLzypump,PAID,So11111111111111111111111111111111111111112,SOL,2026-09-15T19:22:24Z,0.011304314693760264,11126197.6083559,,609217.2018,17706.387771106,423717.146433616,5934092.01268855,41,50,35,40,1434,981,633,549,19154,16266,5976,6053,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,2i2iULr7UwK1SDRB17T5FUtiMnFQL7fyy7rh69brZihc,solana,PumpSwap,8k4sBtEeK4pf26noKqApv8NBTnuSJcbdwpKYknk5PbAA,CALI,So11111111111111111111111111111111111111112,SOL,2026-09-17T12:12:59Z,0.001576534681640036,1511261.16859901,,129751.5364,406.7407774351,9636.8420357893,1258566.98478904,3,9,3,7,60,110,47,66,5555,5633,2410,2183,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,GuPbekwP9MqB23CghhiMQZTaigPdUJooovo1neCErhM8,solana,Meteora,HcRLc9VDgjLeK154xDawfb1dmVJ98DoSqcwTHGqiDeJR,ZCAT,So11111111111111111111111111111111111111112,SOL,2026-09-06T00:18:18Z,0.09371351841772896,90744130.6336211,90744192.1220348,1216459.7142,0.0,23430.1679729166,2616502.11464121,0,0,0,0,16,25,14,23,1356,864,726,551,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,Gc5hVCBydc6k3Z7oc2cQEW4GThFQi2Fqk5HfKABqa2q8,solana,Meteora,98kfF7rmsg1QDUEoCqNE7g7M1FdrTt92TEp2CLzypump,PAID,So11111111111111111111111111111111111111112,SOL,2026-09-15T21:36:04Z,0.011219965985873168,11177294.4067249,,872328.5967,3216.9048308545,207054.351773536,2994792.77903092,5,1,3,1,270,47,196,37,2081,1561,1090,940,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,6HLorrkY3vqPsyTZDFvTGTnwnZsLM343Jxw6XvEPTKRt,solana,PumpSwap,DFQHUegJWE29Xu3BUxPezqi77uyHURRyxJpdtyvLpump,PUMPCAT,So11111111111111111111111111111111111111112,SOL,2026-09-19T04:29:28Z,0.00011777598921367532,116015.014262255,116015.014262255,35894.5082,2497.8245231679,21698.7474769533,594879.453886856,19,37,17,37,281,259,252,252,7710,7330,2646,2257,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,Bzc9NZfMqkXR6fz1DBph7BDf9BroyEf6pnzESP7v5iiw,solana,Raydium,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Fartcoin,So11111111111111111111111111111111111111112,SOL,2024-10-18T06:09:47Z,0.199821743500027,199816030.527822,199816083.486965,9340847.869,10043.2708924054,130654.760272275,3960153.41850573,21,6,8,6,210,154,67,67,10660,10085,3874,3524,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,5ppcy9VaoLNtqqKxd1pAhvqUrHGfgVVxj4CFkXSfqvcj,solana,Pump.fun,Azgyit1kS9yNN5XaFJh3Et4XErGb6gVNw8wszWdCpump,BANDIT,So11111111111111111111111111111111111111112,SOL,2026-09-20T22:34:01Z,3.3387785874251013e-06,3338.778587,,2641.8737,0.0,0.0,2.5915419622,0,0,0,0,0,0,0,0,0,1,0,1,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,9Z7eLhTUV5RLWtxKXKLeykW71Ayxmmq2hWHphP1eAZHR,solana,Pump.fun,Cf3dzyXQG4czayzZC1kUXxBTyePJ91jtm8CkGS2Tpump,beer,So11111111111111111111111111111111111111112,SOL,2026-09-20T22:33:58Z,8.58893604e-07,1717.787208,,739.4765,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
2026-09-22T00:45:02.543914+00:00,7KDARDoNnTmoLpqnGQh3MnSobMQ8f2QjRr1eNZyJTPko,solana,Pump.fun,CDwj1wV1P1cKjV98dAkNqwJxR8Nmf7WGJ9EHcJuiKhRx,OMNI,So11111111111111111111111111111111111111112,SOL,2026-09-20T22:39:57Z,3.340835238035726e-06,3340.835238,,2641.338,0.0,0.0,0.2974655526,0,0,0,0,0,0,0,0,0,1,0,1,snapshot,,,,,,,/home/runner/work/Solana-Memecoin-Analysis/Solana-Memecoin-Analysis/data/cache/2026-09-22/004510579193_multi_pools_160ea732db9e.json
