pool_address,event_at_utc,event_type,detail
BFbxjtNhWHpgpz37P7dqEDe4pu9zHq8iiDsbE6oM7QPk,2026-09-24T01:18:47.305418+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
GFZtLpELpFg7Ns9xX6Zg1KXcAzTh41i2mtFVccwG2QBk,2026-09-24T01:18:47.305418+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
2WZidSjCd3wvQtRTYo4vvBVwxrmB2ZCNmRBFP5rRysaX,2026-09-24T01:18:47.305418+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
4iPY4h2H9TpLfgkCb3p1V3Xw1aMbuA8GqAXrchYCLhgw,2026-09-24T01:18:47.305418+00:00,tracking_window_ended,Fenêtre de suivi (tracking_duration_hours) dépassée.
